Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA
1,Anaheim Ducks,,38,24,8,6,54,.711,107,101,0.08,-0.08,5.47,20,127,15.75,24,118,79.66,5,4
2,Chicago Blackhawks,,36,24,10,2,50,.694,112,74,1.12,0.06,5.17,25,133,18.80,9,100,91.00,2,4
3,Pittsburgh Penguins,,35,22,8,5,49,.700,108,83,0.73,0.02,5.46,27,117,23.08,17,134,87.31,3,5
4,Tampa Bay Lightning,,37,22,11,4,48,.649,119,97,0.57,-0.03,5.84,24,130,18.46,22,120,81.67,4,3
5,Nashville Predators,,34,23,9,2,48,.706,99,71,0.74,-0.08,5.00,15,111,13.51,19,93,79.57,0,2
6,New York Islanders,,35,23,11,1,47,.671,108,98,0.35,0.06,5.89,22,123,17.89,26,99,73.74,5,1
7,Detroit Red Wings,,36,19,8,9,47,.653,103,89,0.40,0.01,5.33,33,136,24.26,15,129,88.37,0,3
8,Montreal Canadiens,,35,22,11,2,46,.657,95,84,0.34,0.03,5.11,15,98,15.31,17,124,86.29,2,2
9,St. Louis Blues,,35,21,11,3,45,.643,103,90,0.40,0.03,5.51,30,121,24.79,27,120,77.50,1,0
10,Winnipeg Jets,,36,19,10,7,45,.625,92,84,0.20,-0.03,4.89,18,118,15.25,21,139,84.89,6,3
11,Toronto Maple Leafs,,36,20,13,3,43,.597,122,108,0.47,0.08,6.39,27,132,20.45,20,121,83.47,6,5
12,Vancouver Canucks,,34,20,11,3,43,.632,100,93,0.09,-0.12,5.68,21,109,19.27,15,114,86.84,4,1
13,Los Angeles Kings,,36,18,11,7,43,.597,100,89,0.18,-0.12,5.25,26,126,20.63,24,121,80.17,5,1
14,San Jose Sharks,,36,19,12,5,43,.597,100,93,0.03,-0.16,5.36,26,105,24.76,17,101,83.17,2,3
15,Washington Capitals,,35,18,11,6,42,.600,102,90,0.22,-0.12,5.49,25,105,23.81,24,110,78.18,0,0
16,New York Rangers,,33,19,10,4,42,.636,100,84,0.51,0.03,5.58,18,105,17.14,18,105,82.86,4,4
17,Calgary Flames,,37,19,15,3,41,.554,108,99,0.23,-0.01,5.59,24,125,19.20,22,95,76.84,1,2
18,Florida Panthers,,33,16,9,8,40,.606,79,86,-0.30,-0.09,5.00,14,103,13.59,22,116,81.03,0,1
19,Boston Bruins,,36,18,15,3,39,.542,93,97,-0.14,-0.03,5.28,14,85,16.47,23,111,79.28,3,0
20,Minnesota Wild,,33,16,13,4,36,.545,96,93,0.09,0.00,5.73,16,111,14.41,13,100,87.00,3,2
21,Dallas Stars,,34,15,14,5,35,.515,99,116,-0.47,0.03,6.32,19,119,15.97,25,120,79.17,2,4
22,Ottawa Senators,,35,14,14,7,35,.500,92,97,-0.03,0.12,5.40,23,125,18.40,22,124,82.26,4,4
23,Philadelphia Flyers,,35,14,15,6,34,.486,98,105,-0.15,0.05,5.80,25,116,21.55,31,121,74.38,1,2
24,Colorado Avalanche,,35,13,14,8,34,.486,92,106,-0.25,0.15,5.66,17,116,14.66,19,127,85.04,3,1
25,Columbus Blue Jackets,,34,15,16,3,33,.485,86,109,-0.59,0.08,5.74,29,121,23.97,24,122,80.33,1,2
26,New Jersey Devils,,37,12,18,7,31,.419,79,107,-0.65,0.11,5.03,22,109,20.18,29,133,78.20,1,5
27,Buffalo Sabres,,36,14,19,3,31,.431,73,118,-1.13,0.13,5.31,9,101,8.91,29,124,76.61,4,5
28,Arizona Coyotes,,35,13,18,4,30,.429,82,113,-0.99,-0.11,5.57,22,113,19.47,29,118,75.42,2,3
29,Carolina Hurricanes,,35,10,21,4,24,.343,71,95,-0.65,0.04,4.74,19,111,17.12,15,98,84.69,2,1
30,Edmonton Oilers,,36,7,22,7,21,.292,76,125,-1.40,-0.04,5.58,13,108,12.04,20,102,80.39,2,5